Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,AMD,AMD,AMD,AMD,AMD,INTC,INTC,INTC,INTC,INTC,TSLA,TSLA,TSLA,TSLA,TSLA,GM,GM,GM,GM,GM,F,F,F,F,F,JPM,JPM,JPM,JPM,JPM,BAC,BAC,BAC,BAC,BAC,GS,GS,GS,GS,GS,WMT,WMT,WMT,WMT,WMT,COST,COST,COST,COST,COST,NKE,NKE,NKE,NKE,NKE,DIS,DIS,DIS,DIS,DIS,PEP,PEP,PEP,PEP,PEP,KO,KO,KO,KO,KO
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2018,,,,,,META,,,,,,,,,,,,,,,,153.319015502929,153.696384339962,149.803578702213,150.171007210098,19095000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/24/2018,,,,,,META,,,,,,,,,,,,,,,,145.026931762695,153.577205854722,144.589996717205,153.209777348287,27744600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2018,,,,,,META,,,,,,,,,,,,,,,,149.902862548828,151.154131674533,145.98026657949,146.705198354375,22105700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2018,,,,,,META,,,,,,,,,,,,,,,,144.361587524414,147.966411664235,142.802486234058,144.808478071256,31303300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2018,,,,,,META,,,,,,,,,,,,,,,,141.104339599609,147.79759069766,138.065568779635,147.46987803922,31336800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2018,,,,,,META,,,,,,,,,,,,,,,,145.205688476562,145.622773162456,138.770643796715,138.969253387197,50528300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2018,,,,,,META,,,,,,,,,,,,,,,,150.737045288085,155.31506690688,147.926689974978,153.924784591105,60101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2018,,,,,,META,,,,,,,,,,,,,,,,150.697326660156,151.690389768295,148.313981261797,150.468926388107,25640800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2018,,,,,,META,,,,,,,,,,,,,,,,149.307067871093,153.060845798475,147.926710539627,150.747006573956,24708700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2018,,,,,,META,,,,,,,,,,,,,,,,147.648620605468,149.148155647022,146.417232007885,149.058783600993,15971200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2018,,,,,,META,,,,,,,,,,,,,,,,148.89988708496,149.922740889401,146.973342201897,148.274252468538,16667100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2018,,,,,,META,,,,,,,,,,,,,,,,150.478866577148,151.948595881003,148.79066215547,150.518597591084,21877400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2018,,,,,,META,,,,,,,,,,,,,,,,146.84423828125,149.892949324254,145.722087262891,149.446073952133,24145800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2018,,,,,,META,,,,,,,,,,,,,,,,143.95442199707,146.734986329764,143.070596515691,145.731998134966,17326900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
